fac_no_faction|Нет фракции
fac_commoners|Простолюдины
fac_outlaws|Вне Закона
fac_neutral|Нейтралы
fac_innocents|Невинные
fac_merchants|Торговцы
fac_player_faction|Фракция Игрока
fac_player_supporters_faction|Сторонники Игрока
fac_kingdom_1|Улей
fac_kingdom_2|Королевство Шеков
fac_kingdom_3|Республика Мундзо
fac_kingdom_4|Союзные Города
fac_kingdom_5|Святая Нация
fac_kingdom_6|Людоеды
fac_kingdom_7|Нинкё Дантай
fac_kingdom_8|Сёгунат
fac_spaceclans|Изгнанники Второй Империи
fac_manhunters|Охотники за Головами
fac_deserters|Дезертиры
fac_mountain_bandits|Горные Бандиты
fac_forest_bandits|Лесные Бандиты
fac_drylanders|Кровавые Рейдеры
fac_talvari|Охотники на Людоедов
fac_gadari|Песчаные Ниндзя
fac_khanjari|Работорговцы
fac_varanids|Голодные Бандиты
fac_red_varanids|Культ Проповедника
fac_swarm|Рой
fac_orogon_pirates|Пыльные Бандиты
fac_marakuur|Разбойники
fac_mandurgar|Ниндзя Чёрного Дракона
fac_jandaharians|Противники Рабства
fac_zomi|Хашишины
fac_gaia|Гайя
fac_all_factions_end|Все Фракции Конец
