p_zendar|Зендар
p_town_1|Бугристый Холм
p_town_2|Стопка
p_town_3|Шо-Баттаи
p_town_4|Адмаг
p_town_5|Стоат
p_town_6|Скуин
p_town_7|Груз
p_town_8|Выдержка Скитальца
p_town_9|Ган
p_town_10|Каннибалия
p_town_11|Грань
p_town_12|Плохие Зубы
p_town_13|Катун
p_town_14|Ако
p_town_15|Последний Бой
p_town_16|Хен
p_town_17|Караг-Така
p_town_18|Дзин-Кай
p_town_19|Хан
p_town_20|Новый Баст
p_town_21|Дрин
p_town_22|Мясо
p_town_23|Ссылка Кат-Лона
p_castle_1|Хуанша Бао
p_castle_2|Кулак Сёгуна
p_castle_3|Тэнгоку но Мон
p_castle_4|Ржавый Форпост
p_castle_5|Гнилая Скала
p_castle_6|Твердыня Старой Империи
p_castle_7|Цитадель Старой Империи
p_castle_8|Твердыня Хагане
p_castle_9|Коргот
p_castle_10|Стена Окрана
p_castle_11|Святая Твердыня
p_castle_12|Святой Форт
p_castle_13|Дхулигарх
p_castle_14|Клык Крала
p_castle_15|Крепость Сингэн
p_castle_16|Металлоломный форт
p_castle_17|Пасть
p_castle_18|Форт Хидарабанг
p_castle_19|Твердыня Второй Империи
p_castle_20|Лохагарх
p_castle_21|Форпост Тэцу
p_castle_22|Костный Перевал
p_castle_23|Кор-Гат
p_castle_24|Крепость Старой Империи
p_castle_25|Сила Крала
p_castle_26|Форт Свист Плети
p_castle_27|Кратерная Цитадель
p_castle_28|Сироганэ
p_castle_29|Станция Старой Империи
p_castle_30|Ветхий Форт
p_castle_31|Куроганэ
p_castle_32|Твердыня Рюдзин
p_castle_33|Шпиль Боли
p_castle_34|Камень Окрана
p_castle_35|Костяной Утёс
p_castle_36|Перевал Мучеников
p_castle_37|Самодельный Форт
p_castle_38|Мясорубка
p_castle_39|Башня Второй Империи
p_castle_40|Древняя Цитадель
p_castle_41|Змеиный Остров
p_castle_42|Курокиба
p_castle_43|Гриш
p_castle_44|Дымный Шпиль
p_castle_45|Рэндокай
p_castle_46|Древняя Твердыня
p_castle_47|Клык Дракона
p_castle_48|Древняя Станция
p_village_1|Дрифтрок
p_village_2|Фэйянь
p_village_3|Хунэн
p_village_4|Соляной Лизунец
p_village_5|Забытая Деревня
p_village_6|Сухой Утёс
p_village_7|Губару
p_village_8|Смирение
p_village_9|Бу-Ран
p_village_10|Фермерская деревня
p_village_11|Гаш
p_village_12|Стена Металлолома
p_village_13|Шекмар
p_village_14|Хидробал
p_village_15|Дрош
p_village_16|Деревня Палача
p_village_17|Старый Рэн
p_village_18|Горудай
p_village_19|Ханун
p_village_20|Деревня Маку
p_village_21|Мау-Ки
p_village_22|Гак-Бу
p_village_23|Дур-Така
p_village_24|Боранги
p_village_25|Невольничья ферма
p_village_26|Кактус
p_village_27|Глун-Кар
p_village_28|Куай
p_village_29|Отпущение
p_village_30|Шлак
p_village_31|Скаб
p_village_32|Зимакара
p_village_33|Баск
p_village_34|Чжоу
p_village_35|Страх
p_village_36|Гниль
p_village_37|Осевшие Кочевники
p_village_38|Ржавый Пик
p_village_39|Рев-Кар
p_village_40|Цутимура
p_village_41|Дуган
p_village_42|Абан
p_village_43|Дохлокот
p_village_44|Сухая Котловина
p_village_45|Первая Деревня
p_village_46|Дзин-Рок
p_village_47|Кость
p_village_48|Ханкай
p_village_49|Выводок
p_village_50|Песчаная Куча
p_village_51|Покаяние
p_village_52|Сокодобыча
p_village_53|Кот
p_village_54|Ганри
p_village_55|Кига
p_village_56|Преданность
p_village_57|Калахади
p_village_58|Кандалы
p_village_59|Домак
p_village_60|Отбросы
p_village_61|Древняя деревня
p_village_62|Хюет Са
p_village_63|Хитин
p_village_64|Песок
p_village_65|Хроген
p_village_66|Клоунская мельница
p_village_67|Тедра
p_village_68|Гандзямура
p_village_69|Святая ферма
p_village_70|Ганьтоу
p_village_71|Чхольто
p_village_72|Железный Хребет
p_village_73|Кагэро-Мура
p_village_74|Чёрный Песок
p_village_75|Бхуга
p_village_76|Деревня-улей
p_village_77|Врата Окрана
p_village_78|Сунамура
p_village_79|Песчаная Скала
p_village_80|Труд
p_village_81|Вера
p_village_82|Шагу
p_village_83|Шпиль
p_village_84|Пепельный
p_village_85|Шиферный Городок
p_village_86|Логово прокажённых
p_village_87|Гвисун Чон
p_village_88|Саргазу
p_village_89|Онзай
p_village_90|Чинпирамура
p_village_91|Бакуто
p_village_92|Хэй Лун
p_village_93|Ржавый Двор
p_village_94|Солончак
p_village_95|Мыс Мусорщиков
p_village_96|Серповидный Песок
p_village_97|Пхёнсэк
p_village_98|Хэй Ша
p_village_99|Костедёр
p_village_100|Улей Трутней
p_village_101|Басай-Фан
p_village_102|Шелуха
p_village_103|Пёс
p_village_104|Тайдака
p_village_105|Ааб
p_village_106|Юбицумэмура
p_village_107|Унрия
p_village_108|Ябайхара
p_village_109|Гомто
p_village_110|Текия-Доро
p_salt_mine|Соляная шахта
p_four_ways_inn|Таверна «Четыре Пути»
p_test_scene|test scene
p_battlefields|поля сражений
p_dhorak_keep|Цитадель Дхорак
p_training_ground|Тренировочный полигон
p_training_ground_1|Учебное поле
p_training_ground_2|Учебное поле
p_training_ground_3|Учебное поле
p_training_ground_4|Учебное поле
p_training_ground_5|Учебное поле
p_steppe_bandit_spawn_point|степи
p_taiga_bandit_spawn_point|тундра
p_forest_bandit_spawn_point|леса
p_mountain_bandit_spawn_point|высокогорья
p_sea_raider_spawn_point_1|побережье
p_sea_raider_spawn_point_2|побережье
p_desert_bandit_spawn_point|пустыни
p_tavern_mercenaries|Таверна наёмников
p_manta_farm|Ферма Мант
p_ruins_01|Руины
p_ruins_02|Руины
p_ruins_05|Руины
p_ruins_07|Руины
p_ruins_08|Руины
p_ruins_09|Руины
p_ruins_10|Руины
p_ruins_11|Руины
p_ruins_04|Руины
p_ruins_06|Руины
p_ruins_03|Руины
p_ruins_12|Руины
p_rocket|Разграбленные руины
p_zomi_monastery|Монастырь Хашишинов
p_jandahar_monastery|Родник
