pt_none|нет
pt_rescued_prisoners|Спасённые Пленники
pt_enemy|Враг
pt_hero_party|Отряд Героя
pt_village_defenders|Защитники Деревни
pt_cattle_herd|Стадо Скота
pt_looters|Голодная Орда
pt_manhunters|Охотники за Головами
pt_steppe_bandits|Кровавые Рейдеры
pt_talvari|Охотники на Людоедов
pt_gadari|Песчаные Ниндзя
pt_khanjari|Работорговцы
pt_taiga_bandits|Культисты-Проповедники
pt_desert_bandits|Голодные бандиты
pt_forest_bandits|Рой Васпидов
pt_mountain_bandits|Пыльные бандиты
pt_sea_raiders|Стая Рейверов
pt_marakuur_pirates|Отряд Рейверов
pt_mandurgar_pirates|Ниндзя Чёрного Дракона
pt_zomi_monks|Воины-Монахи Хашишинов
pt_jandahar_monks|Патруль Противников рабства
pt_deserters|Скитальцы
pt_merchant_caravan|Торговый Караван
pt_troublesome_bandits|Докучающие бандиты
pt_bandits_awaiting_ransom|Бандиты в ожидании выкупа
pt_kidnapped_girl|Похищенная девушка
pt_village_farmers|Деревенские Фермеры
pt_spy_partners|Непримечательные путники
pt_runaway_serfs|Беглые крепостные
pt_spy|Обычный горожанин
pt_sacrificed_messenger|Принесённый в жертву гонец
pt_forager_party|Фуражиры
pt_scout_party|Разведчики
pt_patrol_party|Патруль
pt_messenger_party|Гонец
pt_raider_party|Рейдеры
pt_raider_captives|Пленники Рейдеров
pt_kingdom_caravan_party|Караван
pt_prisoner_train_party|Колонна пленников
pt_default_prisoners|Обычные пленники
pt_routed_warriors|Разбитые враги
pt_center_reinforcements|Подкрепления
pt_kingdom_hero_party|Военный отряд
pt_steppe_bandit_lair|Бандитский Форпост
pt_taiga_bandit_lair|Святилище Культа Проповедника
pt_desert_bandit_lair|Убежище Отщепенцев
pt_forest_bandit_lair|Улей Васпидов
pt_mountain_bandit_lair|Убежище Пыльных Бандитов
pt_sea_raider_lair|Бандитское Логово
pt_looter_lair|Логово Похитителей
pt_leaded_looters|Шайка Разбойников
pt_vaspid_hunt|Охотники на Васпидов
pt_spaceclan_convoy|Конвой Космического Клана
pt_chanak_hunters|Бродячие Скелеты
